budget,method,mean,std,success_rate,n_seeds
100,bo,0.00,0.00,0.00,5
200,bo,0.00,0.00,0.00,5
300,bo,0.00,0.00,0.00,5
500,bo,0.00,0.00,0.00,5
800,bo,0.00,0.00,0.00,5
100,ga,0.00,0.00,0.00,5
200,ga,0.00,0.00,0.00,5
300,ga,0.00,0.00,0.00,5
500,ga,0.00,0.00,0.00,5
800,ga,0.00,0.00,0.00,5
100,greedy_distance,0.00,0.00,0.00,5
200,greedy_distance,0.00,0.00,0.00,5
300,greedy_distance,0.00,0.00,0.00,5
500,greedy_distance,0.00,0.00,0.00,5
800,greedy_distance,0.00,0.00,0.00,5
100,greedy_reward_density,0.00,0.00,0.00,5
200,greedy_reward_density,0.00,0.00,0.00,5
300,greedy_reward_density,0.00,0.00,0.00,5
500,greedy_reward_density,0.00,0.00,0.00,5
800,greedy_reward_density,0.00,0.00,0.00,5
100,hsbo,104.26,69.11,100.00,5
200,hsbo,108.58,64.26,100.00,5
300,hsbo,108.58,64.26,100.00,5
500,hsbo,128.44,59.70,100.00,5
800,hsbo,128.46,59.71,100.00,5
100,pso,0.00,0.00,0.00,5
200,pso,0.00,0.00,0.00,5
300,pso,0.00,0.00,0.00,5
500,pso,0.00,0.00,0.00,5
800,pso,2.16,4.83,20.00,5
100,random,0.00,0.00,0.00,5
200,random,0.00,0.00,0.00,5
300,random,0.00,0.00,0.00,5
500,random,0.00,0.00,0.00,5
800,random,0.00,0.00,0.00,5
