scale,method,n_seeds,final_best_mean,final_best_std,success_rate,feasible_rate
18-D,cmaes_repair,10,58.091,24.670,100.000,16.533
18-D,cmaes,10,24.149,20.863,90.000,2.667
18-D,de_repair,10,58.634,20.378,100.000,12.733
18-D,de,10,16.088,18.998,80.000,1.733
40-D,cmaes_repair,10,4.330,8.039,30.000,0.100
40-D,cmaes,10,0.000,0.000,0.000,0.000
40-D,de_repair,10,10.964,15.949,40.000,0.200
40-D,de,10,0.000,0.000,0.000,0.000
80-D,cmaes_repair,5,0.000,0.000,0.000,0.000
80-D,cmaes,5,0.000,0.000,0.000,0.000
80-D,de_repair,5,0.000,0.000,0.000,0.000
80-D,de,5,0.000,0.000,0.000,0.000
18-D,bo,10,11.894,20.673,50.000,7.267
18-D,ga,10,20.392,26.242,70.000,9.000
18-D,greedy_distance,10,25.308,20.828,90.000,4.133
18-D,greedy_reward_density,10,37.392,31.320,90.000,4.133
18-D,hsbo,10,121.463,47.619,100.000,10.800
18-D,pso,10,33.064,30.406,90.000,4.933
18-D,random,10,25.333,19.431,100.000,2.533
40-D,bo,10,0.000,0.000,0.000,0.000
40-D,ga,10,0.000,0.000,0.000,0.000
40-D,greedy_distance,10,0.000,0.000,0.000,0.000
40-D,greedy_reward_density,10,0.000,0.000,0.000,0.000
40-D,hsbo,10,99.579,66.428,90.000,1.667
40-D,pso,10,0.000,0.000,0.000,0.000
40-D,random,10,0.000,0.000,0.000,0.000
80-D,bo,5,0.000,0.000,0.000,0.000
80-D,ga,5,0.000,0.000,0.000,0.000
80-D,greedy_distance,5,0.000,0.000,0.000,0.000
80-D,greedy_reward_density,5,0.000,0.000,0.000,0.000
80-D,hsbo,5,26.841,29.483,60.000,0.200
80-D,pso,5,0.000,0.000,0.000,0.000
80-D,random,5,0.000,0.000,0.000,0.000
